Year,Cu supply (Mt)
2020, 30.90
2025, 36.10
2030, 41.48
2035, 47.14
2040, 52.42
2045, 57.48
2050, 61.85
2055, 66.43
2060, 70.53
2065, 74.15
2070, 77.37
2075, 80.37
2080, 83.10
2085, 85.37
2090, 87.48
2095, 89.30
2100, 91.30
